#TYPE System.Management.Automation.PSCustomObject
"surname";"givenname";"username";"password"
"Abbott";"Klaus";"S000000";"7pwZalKMO?"
"Abel";"Jens";"S000001";"ClcB%mh2HW"
"Abele";"Simon";"S000002";"mG?UkT2gNp"
"Abele";"Sophie";"S000003";"nA{1VRzYig"
"Acker";"Eric";"S000004";"oLP9e[sFbF"
"Adam";"Quentin";"S000005";"b/ZgE9AVoi"
"Adams";"Helga";"S000006";"F8rWwgW!Gf"
"Adams";"Nick";"S000007";"7vMZG+pwXr"
"Adams";"Waltraud";"S000008";"m*MboEeH8M"
"Adkins";"Annabell";"S000009";"HGgnmMx1+N"
"Adkins";"Kian";"S000010";"nC0vRHAc!z"
"Adolf";"Eric";"S000011";"KWs6ND$gsw"
"Adolf";"Jolina";"A000012";"!3ppMZfFBa"
"Adolph";"Detlev";"S000013";"b0SUuhEy]G"
"Adolph";"Timon";"S000014";"HRyY1i[Bdb"
"Adrian";"Mattis";"S000015";"@bgNL4awEP"
"Aguilar";"Mona";"S000016";"hgZ}gZ2pAS"
"Aguilar";"Ole";"S000017";"Li8oP)WuHu"
"Ahrend";"Ina";"S000018";"L3swwWhD?E"
"Ahrends";"Layla";"S000019";"Khs%Vo9NDs"
"Ahrendt";"Christa";"S000020";"PW#LO0ceot"
"Ahrendt";"Franziska";"S000021";"yMH$Vezd4K"
"Ahrendt";"Moritz";"S000022";"dMG!LnGu3t"
"Ahrens";"Amely";"S000023";"m?7UeOyEaN"
"Ahrens";"Paul";"S000024";"W0YlCi}elE"
"Alber";"Gina";"S000025";"E(1fZkWMtd"
"Albers";"Helen";"S000026";"U(Svif2mFV"
"Alberts";"Benedikt";"S000027";"u=9gBXDTyp"
"Alexander";"Melina";"S000028";"ft@cWSKUw3"
"Allen";"Anica";"S000029";"SfslMm+5SU"
"Allen";"Felicitas";"S000030";"u&A3xhAvZL"
"Allen";"Waltraut";"S000031";"TpxV7cPX{e"
"Allen";"Yannic";"S000032";"FhNRyK@r6a"
"Alt";"Gudrun";"S000033";"4z!MvvUrOM"
"Alvarado";"Kristian";"S000034";"ZrKyL6xwV#"
"Anders";"Merle";"S000035";"CtgSOxY]d4"
"Anderson";"Anton";"S000036";"=inOd9UVmE"
"Andres";"Jamie";"S000037";"uHEmcNRk&1"
"Andrews";"Henrik";"S000038";"DOmkAizK=9"
