Description;DistinguishedName;Enabled;GivenName;Name;ObjectClass;ObjectGUID;SamAccountName;Surname;UserPrincipalName
Klaus Abbott, Sekundar;CN=klaus.abbott,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Klaus;klaus.abbott;user;cdc95515-afc0-4f6b-a9c5-dcb8e2822b8c;klaus.abbott;Abbott;k.abbott@mail.xyz
Jens Abel, Sekundar;CN=jens.abel,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Jens;jens.abel;user;213b6166-4344-4607-87ce-24af278a8848;jens.abel;Abel;j.abel@mail.xyz
Simon Abele, Sekundar;CN=simon.abele,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Simon;simon.abele;user;2d67a555-c231-4c9f-95fe-b85fcfe7dead;simon.abele;Abele;simon.abele@mail.xyz
Sophie Abele, Sekundar;CN=sophie.abele,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Sophie;sophie.abele;user;ef3f8b15-52f2-4574-9aa0-805df57e258a;sophie.abele;Abele;keineMailAddy
Eric Acker, Sekundar;CN=eric.acker,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Eric;eric.acker;user;fcc24047-bf88-4279-bd65-98029fbfca2c;eric.acker;Acker;eric.acker@mail.xyz
Quentin Adam, Sekundar;CN=quentin.adam,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Quentin;quentin.adam;user;52318aac-7c6b-4859-b75d-2e105e5d37b0;quentin.adam;Adam;q.adam@mail.xyz
Helga Adams, Sekundar;CN=helga.adams,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Helga;helga.adams;user;5d02a47e-a20b-4256-b6ac-67a1713d8dc4;helga.adams;Adams;helga.adams@mail.xyz
Nick Adams, Sekundar;CN=nick.adams,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Nick;nick.adams;user;a51d3355-b004-4cf4-9d6d-91b8f52cab78;nick.adams;Adams;nick.adams@mail.xyz
Waltraud Adams, Sekundar;CN=waltraud.adams,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Waltraud;waltraud.adams;user;1a2f28d9-00a2-4a17-812a-0540cc7ea6af;waltraud.adams;Adams;keineMailAddy
Annabell Adkins, Sekundar;CN=annabell.adkins,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Annabell;annabell.adkins;user;39e8d088-f316-4796-b483-e7b19ff3e83f;annabell.adkins;Adkins;a.adkins@mail.xyz
Kian Adkins, Sekundar;CN=kian.adkins,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Kian;kian.adkins;user;6efb5b14-890f-424b-a0ec-54a560805afb;kian.adkins;Adkins;k.adkins@mail.xyz
Eric Adolf, Sekundar;CN=eric.adolf,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Eric;eric.adolf;user;88d089ff-af47-4b6e-b9a9-960404f6a256;eric.adolf;Adolf;e.adolf@mail.xyz
J. A., Verwaltung;CN=jolina.adolf,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Jolina;jolina.adolf;user;eb4352ba-67a3-4633-be55-631991e01149;jolina.adolf;Adolf;j.adolf@mail.xyz
Detlev Adolph, Sekundar;CN=detlev.adolph,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Detlev;detlev.adolph;user;ff61c371-3f54-4632-819a-7bf0481135e1;detlev.adolph;Adolph;detlev.adolph@mail.xyz
Timon Adolph, Sekundar;CN=timon.adolph,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Timon;timon.adolph;user;de132720-8a89-4027-8221-fbec5b467672;timon.adolph;Adolph;t.adolph@mail.xyz
Mattis Adrian, Sekundar;CN=mattis.adrian,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Mattis;mattis.adrian;user;bec3bfcf-aa83-47de-a297-20cd1913e7af;mattis.adrian;Adrian;m.adrian@mail.xyz
Mona Aguilar, Sekundar;CN=mona.aguilar,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Mona;mona.aguilar;user;1f739026-230f-422a-afb7-0c98ece12159;mona.aguilar;Aguilar;keineMailAddy
Ole Aguilar, Sekundar;CN=ole.aguilar,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Ole;ole.aguilar;user;5f576853-6554-4ed3-8e2d-808de0f88b25;ole.aguilar;Aguilar;keineMailAddy
Ina Ahrend, Sekundar;CN=ina.ahrend,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Ina;ina.ahrend;user;7fabe39d-f523-4e55-bd6e-9c1e2dbd8c85;ina.ahrend;Ahrend;i.ahrend@mail.xyz
Layla Ahrends, Sekundar;CN=layla.ahrends,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Layla;layla.ahrends;user;4288fad7-df3b-4b33-8e51-d86587feabfc;layla.ahrends;Ahrends;layla.ahrends@mail.xyz
Christa Ahrendt, Sekundar;CN=christa.ahrendt,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Christa;christa.ahrendt;user;44a84dbe-e5cb-40c8-9535-2c9453975834;christa.ahrendt;Ahrendt;keineMailAddy
Franziska Ahrendt, Sekundar;CN=franziska.ahrendt,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Franziska;franziska.ahrendt;user;d8541270-6219-4158-a3b3-56cdaa1c218d;franziska.ahrendt;Ahrendt;keineMailAddy
Moritz Ahrendt, Sekundar;CN=moritz.ahrendt,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Moritz;moritz.ahrendt;user;74bec904-6812-4914-b9b5-e4f4694eaef1;moritz.ahrendt;Ahrendt;m.ahrendt@mail.xyz
Amely Ahrens, Sekundar;CN=amely.ahrens,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Amely;amely.ahrens;user;caf05624-6de8-4055-b920-5ee82dad2ab2;amely.ahrens;Ahrens;a.ahrens@mail.xyz
Paul Ahrens, Sekundar;CN=paul.ahrens,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Paul;paul.ahrens;user;cb73a47f-2bad-489c-b208-a94dc4b65a82;paul.ahrens;Ahrens;keineMailAddy
Gina Alber, Sekundar;CN=gina.alber,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Gina;gina.alber;user;6dcfca07-4d6b-467c-bc70-edbf94a0130d;gina.alber;Alber;keineMailAddy
Helen Albers, Sekundar;CN=helen.albers,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Helen;helen.albers;user;d86bbb6e-accb-47b9-850e-f236610704a9;helen.albers;Albers;helen.albers@mail.xyz
Benedikt Alberts, Sekundar;CN=benedikt.alberts,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Benedikt;benedikt.alberts;user;f4d8820c-fca6-4d55-9000-92befc1c8951;benedikt.alberts;Alberts;b.alberts@mail.xyz
Melina Alexander, Sekundar;CN=melina.alexander,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Melina;melina.alexander;user;ce866446-c56c-406a-a49d-6145578728b1;melina.alexander;Alexander;m.alexander@mail.xyz
Anica Allen, Sekundar;CN=anica.allen,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Anica;anica.allen;user;7748e97e-f543-4f0d-8d5c-a276fbc92dee;anica.allen;Allen;anica.allen@mail.xyz
Felicitas Allen, Sekundar;CN=felicitas.allen,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Felicitas;felicitas.allen;user;f17c86c2-1e73-4ce7-9fad-7cb1ec0254d4;felicitas.allen;Allen;felicitas.allen@mail.xyz
Waltraut Allen, Sekundar;CN=waltraut.allen,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Waltraut;waltraut.allen;user;c44f30ad-0382-4568-836f-e58eed3f7490;waltraut.allen;Allen;keineMailAddy
Yannic Allen, Sekundar;CN=yannic.allen,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Yannic;yannic.allen;user;83657858-b9a4-40f4-9aee-2ee1828ce8ea;yannic.allen;Allen;keineMailAddy
Gudrun Alt, Sekundar;CN=gudrun.alt,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Gudrun;gudrun.alt;user;067fc280-1804-4428-91d0-081a34cb80b3;gudrun.alt;Alt;keineMailAddy
Kristian Alvarado, Sekundar;CN=kristian.alvarado,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Kristian;kristian.alvarado;user;f75d6d94-c972-4cbc-8961-02589970e37d;kristian.alvarado;Alvarado;keineMailAddy
Merle Anders, Sekundar;CN=merle.anders,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Merle;merle.anders;user;741790a9-8fd2-4978-863f-881c507486dc;merle.anders;Anders;merle.anders@mail.xyz
